"orden","ruta","tipo","clasificación_g8","estado_o_tratamiento","fundamento","tamaño_bytes","sha256"
"110","docs/producto/MAPA_STAKEHOLDERS_ACTORES_Y_PERFILES_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","10713","df95ca627cd0a6784d504fb4740f40a20a82b7fa189b0adfa9a5952bc93cf8c7"
"111","docs/producto/README.md","Documento Markdown","Materialización controlada G8","Agregado o modificado dentro del delta autorizado","D-73 a D-84; ACTO-G8-GMS-20260908-17","1746","75c3ab4aa49a395069cd174779e7e743cf12f787e64a2dc1f00fdb6b76cd706f"
"112","docs/referencias/.gitkeep","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"113","docs/referencias/INDICE_DE_GLOSARIOS_DE_DOMINIO_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4426","9abdbf58a2051ae6ca0f96072bc61be0582fdc61800215f7ff8fe45dfe7ba11d"
"114","docs/referencias/README.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","823","c08834bcf4a2864a14ed670720e1010af16021f446b2295c94ca830b3872d4d7"
"115","docs/referencias/REGISTRO_DE_INVARIANTES_VARIANTES_Y_EXCEPCIONES_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","15652","f3f6d2f9c533f4fae23e71847a6e586134b73df23be85b1b3d7148e990187761"
"116","docs/sdd/MODELO_OPERATIVO_SDD_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","13903","c6fa8e5f41df3c856090abae438877e6c29a18f9e3426ef9fc43c908827e7436"
"117","docs/sdd/PLANTILLA_CONTEXT_PACKAGE_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","6954","150836ae6d40330260f1e96c030a023c051d8ccbde7a5c5fb3b0df7cca93ba21"
"118","docs/sdd/PLANTILLA_SPEC_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","10517","288e1a4401e56cc8da2b1f387ed482ae7e71a23fafeadbb28fc10a17fd6aa6da"
"119","docs/sdd/POLITICA_CAMBIO_TRAZABILIDAD_Y_CIERRE_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","10071","7baf834677ea01dfbd6b50d3502cd00ee904884eb9e396ec1f5668e1c7b5b86d"
"120","docs/sdd/README.md","Documento Markdown","Materialización controlada G8","Agregado o modificado dentro del delta autorizado","D-73 a D-84; ACTO-G8-GMS-20260908-17","1533","596ba1948e5df514c75aa67ec712900f115a6b2a7641cd9ddb89ded5006a229e"
"121","docs/spec/README.md","Documento Markdown","Materialización controlada G8","Agregado o modificado dentro del delta autorizado","D-73 a D-84; ACTO-G8-GMS-20260908-17","1303","542b5e1a60f26d219c7357f54889547128f976fe8dcb64f2ae902eb2f6140a3e"
"122","docs/spec/SPEC-GMS-0001_PROYECTO_LOCAL_PERSISTENTE_CON_ESCENA_Y_MAPA_BASE_2D_v1.0.0.md","Documento Markdown","Materialización controlada G8","Agregado o modificado dentro del delta autorizado","D-73 a D-84; ACTO-G8-GMS-20260908-17","47731","371c6542b267c21efc1b7d906eddcdd41c45ee8db7738d749e1ec444227f52c1"
"123","evidence/g7/README.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","401","46b89387b5d64f1918e0f0eda7098405d7af7126bddf713228cb5d845085670f"
"124","itinerario/G1/ACTO_FOUNDER_CIERRE_G1_LB-G1-GMS-20260904-01_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","6095","26ae767c4cd0aebb9b299d1c052597c004c9babf3ce8722061c2c2886277030f"
"125","itinerario/G1/ACTO_FOUNDER_RECONCILIACION_SDD_D01_D07_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","3981","97f3aae087c51e68fd7f7205961e57ff8a6c4cb99937fec741dc32f5ad8c9d88"
"126","itinerario/G1/ACTO_FOUNDER_RECONCILIACION_SDD_D08_D10_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4456","96ec2dbb0a12ed5462a7833e35336c1d28e631f34fac3635c1f126fd5e472383"
"127","itinerario/G1/ACTO_FOUNDER_RECONCILIACION_SDD_D11_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","3077","f6d584e87fc2a2aa3f66dde0b5ec5efab9ad3dc76783dc9890273b19ae30759a"
"128","itinerario/G1/GMS_DELTA_REPRODUCIBLE_G1_DESDE_a3b2d467_v1.0.0.csv","Evidencia CSV","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","6214","4319581478d1173bf3de3b0e6a3ad7ca31fad4d7a47a4fd5967276f682cc3229"
"129","itinerario/G1/GMS_INFORME_VALIDACION_Y_PROPUESTA_CIERRE_G1_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","12245","4cd021caac8bc75c25fdb8161424da936e8d49672f8b8f6ffe0a379670dea557"
"130","itinerario/G1/GMS_INVENTARIO_COMPLETO_CANDIDATO_G1_v1.0.0.csv","Evidencia CSV","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","31943","06543686d8cf83b0fdbfbd0dcb063235826e42fecaba325b81b34ab1199883ce"
"131","itinerario/G1/GMS_MANIFIESTO_NUCLEO_NORMATIVO_G1_v1.0.0.sha256","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4437","56625ea3eaa94293834bfd4cafcb3f5dfe1919ec27adddd25c6406f88f35fe66"
"132","itinerario/G1/GMS_MANIFIESTO_REPOSITORIO_CANDIDATO_G1_v1.0.0.sha256","Artefacto de repositorio","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","10648","6e9f26d931922cd3136bcee02feb2ce21974dba7e4405daf63d96204d5b52684"
"133","itinerario/G2/ACTO_FOUNDER_CIERRE_G2_LB-G2-GMS-20260904-01_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","7056","516c65608217569e4ccb153db95dc73e87f7e23896340d3d4d9509c61ded1fcb"
"134","itinerario/G2/ACTO_FOUNDER_G2_D12_D18_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4515","b091074c47cb4ddfffb994373609bcc161732031bde2de978d64de62f361d3c9"
"135","itinerario/G3/ACTO_FOUNDER_CIERRE_G3_LB-G3-GMS-20260904-01_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","6717","baffc45f178c280799584d4dd828e614ad35045115e77978056c123dbdddeeff"
"136","itinerario/G3/ACTO_FOUNDER_G3_D19_D28_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","3511","35373a645464f76a813fa4000490b47e442fefcf5005603ae5aff06a23cf6532"
"137","itinerario/G4/ACTO_FOUNDER_CIERRE_G4_LB-G4-GMS-20260904-01_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","7424","c43adf2b4f5d54bd2e1453e5a31a7589eb71da3ca5844be493887233000fea31"
"138","itinerario/G4/ACTO_FOUNDER_G4_D29_D36_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4855","993aa01c5a1e5b12a822c17ab409cec9299e565076c2fbc56323836bb8e04798"
"139","itinerario/G5/ACTO_FOUNDER_CIERRE_G5_LB-G5-GMS-20260907-01_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","8379","eb2c71573d8aea2bcb95f1bd6d6cb58f5ed8e724345e115337cf233e564d6fe9"
"140","itinerario/G5/ACTO_FOUNDER_G5_D37_D48_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","5433","5c42113a77fa45cf38dd9ef460c389a01f81f9ab6b3dfd402a6abd1c48d20533"
"141","itinerario/G6/ACTO_FOUNDER_CIERRE_G6_LB-G6-GMS-20260908-01_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","9017","4b2a0c30c96ee3c3243d7fc6caca242850205c0a677f9c0cf2cb5b23a086fa84"
"142","itinerario/G6/ACTO_FOUNDER_G6_D49_D60_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","7108","f1752f2637a10516cb75840b500860e315c9fb9b1e4fa2b7d679282b921e6f25"
"143","itinerario/G7/ACTO_FOUNDER_CIERRE_G7_LB-G7-GMS-20260908-01_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","9287","c15726591b1959b6d31095bf1dbe12dc1caf1cd27f4e3f24ea50f26f03e28eb5"
"144","itinerario/G7/ACTO_FOUNDER_G7_D61_D72_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","6996","5c4a3342ebe937cd66cdd6f74312c8383eedbd7e8198afb5b1eb62f588658237"
"145","itinerario/G7/INF-G7-GMS-20260908-01.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","25463","5d9c78286f6e97ea0051a61a2168d9c0d6fe5360598be178941855940c203c36"
"146","itinerario/G8/ACTO_FOUNDER_G8_D73_D84_v1.0.0.md","Documento Markdown","Materialización controlada G8","Agregado o modificado dentro del delta autorizado","D-73 a D-84; ACTO-G8-GMS-20260908-17","6619","14af9f9547d1d166b270e780ccf78d66e2e1b44e95b0632310fdef1fbbefc617"
"147","itinerario/G8/GMS_DELTA_REPRODUCIBLE_G8_DESDE_41d73cee_v1.0.0.csv","Evidencia CSV","Evidencia reproducible G8","Agregado como evidencia reproducible","Cierre verificable de la materialización G8","1720","e8adf924de6df15b978941fdfeaf83875166c50fa258a921fc75f8fd21b641d6"
"148","itinerario/G8/INF-G8-GMS-20260908-01.md","Documento Markdown","Materialización controlada G8","Agregado o modificado dentro del delta autorizado","D-73 a D-84; ACTO-G8-GMS-20260908-17","40908","c22b703e3990e6adee357ed97f0cc167a329d3a12c0f5523deb440141898b695"
"149","itinerario/G8/REV-GMS-0001_REVISION_SPEC-GMS-0001_v1.0.0.md","Documento Markdown","Materialización controlada G8","Agregado o modificado dentro del delta autorizado","D-73 a D-84; ACTO-G8-GMS-20260908-17","8835","149392c87cedfd5c08175bef7f530b60f12d10d165ac2f0a443cdbfaac179ae2"
"150","itinerario/GMS_ITINERARIO_MAESTRO_SDD_v1.0.0.md","Documento Markdown","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","54663","291b41d88c4fd7895b3648071f50553d707885f759f71651e3f84b43c278f998"
"151","package.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","1864","413a52912f6ebbd0efa0679ee2e3d6b04ae733c4675fb05556fb6320de582ec3"
"152","packages/application/package.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","242","8e6f8d16c7d7753764d9527199bc735b6fa961923b14feb8735d9a249b6731ad"
"153","packages/application/src/index.ts","Código TypeScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","1418","2b2a350badb7dc29a42aecb534c4d8295feebe8de620e05843d7e17625a892c4"
"154","packages/identity/package.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","239","d240a1ca9e3590bcb1e72c19fc46bf862c439acd7ec69806553b813400b2075a"
"155","packages/identity/src/index.ts","Código TypeScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","479","dd0fa8265dc40058166e01152288040771e6a791513ae33949cfec82cf9b14f8"
"156","packages/infrastructure/package.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","407","4784fbb20f1680e66d539b36e36337cc3575fb2cc47246bf09b6281521fa9dd7"
"157","packages/infrastructure/src/index.ts","Código TypeScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","1142","74441e37f646547ad86418a0a8186dccde2079cefb03d1d27a3e7fdd9739ae4b"
"158","packages/map/package.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","234","d94416ea1eedd360f56afdbdac8b1646d3c37c5a793ea2b209a7bd5b41c40581"
"159","packages/map/schema/map-view.schema.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","888","82271d7ab04fa4c4da1bc82d91d5afec59cf374878fd64ab66aa8e112d62224b"
"160","packages/map/src/index.ts","Código TypeScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","769","abf0ff2874f6621166ec75fe0dc84a9ff9fd5ae7c11326b0b3bf8bc5c5e7cfa2"
"161","packages/project/package.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","314","f83e376ba1917534044c6979cfd563b6986eb6d85c08c9047070fc3f6eae92e5"
"162","packages/project/schema/project-document.schema.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","750","bc833ca8737735612ccbf1a4871c4bde1576379644b69ca5dfac451b23efd77b"
"163","packages/project/schema/project.schema.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","673","60b257bb510da0ec6b177daf35abb84276b91f923da8822980f62daaa5ea6fa5"
"164","packages/project/src/index.ts","Código TypeScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","1476","16eab639386660487b229c4ffae2d5638f0670ab63d5340006f7d14a54122a4d"
"165","packages/scene/package.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","236","09792a85ecdb3123418c5bc5808951d5cf5909b07da96f8fcfc5180bbfa0aeac"
"166","packages/scene/schema/scene.schema.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","711","7725cec003cc0c25ae6eb64dfd95f440c0c52af21f13eb6e0b25b158fe86cbf8"
"167","packages/scene/src/index.ts","Código TypeScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","471","e8ad73ae493449bb9dfc0aa6ac01de1a4d876cc40a530b0da5a7f139d1aad077"
"168","packages/shared/package.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","173","8c43dca168f8b4cb001db1d4b276bb87d71074ffca064469ed62654e5f5a9c2a"
"169","packages/shared/schema/common.schema.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","357","0d3b66130419866d046adf24adac4ccda0c0a1366cf145000c9db8f1aaeb8462"
"170","packages/shared/src/index.ts","Código TypeScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","314","f0789e8906314883fd373bab6606205851e34bd1b1c5288b4ee618cdd0aae924"
"171","packages/ui/package.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","222","b9c9967ac86975a18a4236ebc90415581f8d27a8b856d9f3ad92953e02e5945d"
"172","packages/ui/src/index.tsx","Código TSX","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","394","354ca628fa5b585297db4fb64a5e125b47a0c31d0828fb33719d7577e8a3db7a"
"173","packages/ui/src/styles.css","Hoja de estilos","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","544","52b2e779193c6d44eacec60f8a00cdb055bcbc1564814406de3997dd79d26883"
"174","playwright.config.ts","Código TypeScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","508","907ba433d064c3e90e63a73f438f752dabb8f67f68154410ece64867eb8b6cbe"
"175","pnpm-lock.yaml","Configuración YAML","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","56789","ee27028c39c1da528478e3f7042a6d61e3777f700cab6fa876cd9b0ae9e21e80"
"176","pnpm-workspace.yaml","Configuración YAML","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","869","f1597088535ee03855ff914af58d256f9965809862db2e5e5df454d4d3ffc713"
"177","scripts/build-natural-earth.mjs","Automatización JavaScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","2280","b6907a81833414e37676c57d9d838a0e9654df0f30d9fdc95227036e05ccbfd3"
"178","scripts/check-dependencies.mjs","Automatización JavaScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4457","b60614341a8f41927c3932c08490b57fd9a64d0ea61efbd94d571ad5efaf4432"
"179","scripts/generate-conformance.mjs","Automatización JavaScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","4034","156fda58fb80ba8bdc397e8d0a7a2e44a490b1eabd750a9eb93cfbcf62f53a40"
"180","scripts/run-gitleaks.mjs","Automatización JavaScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","793","68948603cad80847a5c6d0b9c52b0a80f10978b48929e5826bc427809231f157"
"181","scripts/validate-architecture.mjs","Automatización JavaScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","5608","b1e0304f4961b9bd40e34f46a7a9450417c0b34991379dcacfddbcd4c077a42c"
"182","scripts/validate-docs.mjs","Automatización JavaScript","Materialización controlada G8","Agregado o modificado dentro del delta autorizado","H-G8-VAL-01; autorización Founder","8695","6401a7a39a9ad3490d426778288e258c4506fa40203e6b5c4a5a2b475921de7a"
"183","scripts/validate-schemas.mjs","Automatización JavaScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","1998","4115a046e8864cbe45690b58ed3320b193e251a7f1344c3604f06ffdcb0da567"
"184","scripts/verify-clean.mjs","Automatización JavaScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","2351","1dd88215b53e52b8a976d37d94615320f587b4e4d02c79e5f2d82d08a6191841"
"185","scripts/verify.mjs","Automatización JavaScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","902","312831120dcd3e0a15ac531648938652f3c3c12ae5d93e6062c3a80ab2497a43"
"186","tests/e2e/foundation.smoke.spec.ts","Código TypeScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","586","1f8677c5ab8f922364246e86f81f0f5f855f210786ac0e05dffa2b83a945de03"
"187","tests/fixtures/schemas/invalid/unknown-property.gms.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","893","b142841fec58fff55d7632377a1f8b759925d4d9a44c100a27084649587f19a2"
"188","tests/fixtures/schemas/valid/minimal.gms.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","878","9428e854f9621417176d13e20aca2acb155b261dc3dfeeaec3cb1534bb23f07a"
"189","tests/unit/event-dispatcher.test.ts","Código TypeScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","1998","4ecf852dc4c47471c6b69db61ce1a6525d5722cee0d631ba86aea7d9a4eeb354"
"190","tests/unit/identity-contract.test.ts","Código TypeScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","625","6158f97804ea8bd15a24b400e110f568a1f3c02145ff8976ce84ef7cc9b5d104"
"191","tests/unit/schema-validator.test.ts","Código TypeScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","2085","11263b852d5f0b1fe31fb009937eef23b5eb4efb12e4d4044f538a092575821a"
"192","tsconfig.json","Configuración JSON","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","843","9f91823347120dc7df0dbad5dfc5d81fc26d2df735707f8220e9d21831bdbefb"
"193","vitest.config.ts","Código TypeScript","Herencia institucional o técnica","Sin cambios respecto del corte de entrada","Corte de entrada 41d73cee/990f1694","484","152a6f26e7db6ad47f8bf671dabacd8b0c13510468ca08d20a50ff6a2396518f"
