"orden","ruta","tipo","clasificación_g1","código","título","versión","estado_o_tratamiento","fundamento","tamaño_bytes","sha256"
"95","docs/notas_internas/08_CARTA_FUNDACIONAL_DE_GEOMOTION_STUDIO.md","Documento institucional","Núcleo normativo G1","INT-008","Carta Fundacional de GeoMotion Studio","1.0.0","Aprobado y vigente","D-08; Founder","6044","2ff70cff35333ad136e4ef603ef98061bbe05377b5cd480233c170be22d1f14c"
"96","docs/notas_internas/09_CONTEXTO_MAESTRO_DIRECCIÓN_TÉCNICA.md","Documento interno","Documento controlado de apoyo","INT-009","Contexto Maestro de Dirección Técnica","No declarada","Activo","Apoyo contextual; fuera del núcleo normativo","3042","be4f25207d3d0461f5be2f43ac4bfd15c9f87ed9d17b13ca89a7094f0a4f2a99"
"97","docs/notas_internas/10_CONTEXTO_OPERATIVO_DT.md","Documento interno","Documento controlado de apoyo","INT-010","Contexto Operativo del Director Técnico","No declarada","Activo","Apoyo contextual; fuera del núcleo normativo","6715","c0d1ac6c055b4e5d0f6e9a58ca1e19a9159e5d3ce90dd961761eae6ee1acaa91"
"98","docs/notas_internas/11_PROTOCOLO_OPERATIVO_DT.md","Documento interno","Documento controlado de apoyo","INT-011","Protocolo Operativo de Ejecución del Director Técnico","No declarada","Activo","Apoyo contextual; fuera del núcleo normativo","12928","60105ffbea90b88e3598fc0ac96f5aded987a3e7be55bac3251f273cfa6988f5"
"99","docs/README.md","Navegación documental","Soporte de navegación","No aplica","docs/README.md","No declarada","Informativo","D-10; fuera del núcleo normativo","3583","82c560b476d0006dd6c78d8ae33c51142bb1dfebbc454a7dcb9bd3ca5907547e"
"100","docs/referencias/.gitkeep","Marcador de directorio","Reserva estructural","No aplica","docs/referencias/.gitkeep","No aplica","Vacío, materializado","D-11","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"101","itinerario/G1/ACTO_FOUNDER_RECONCILIACION_SDD_D01_D07_v1.0.0.md","Acto institucional","Control institucional de G1","ACTO-SDD-GMS-20260903-01","Acto del Founder — Aprobación en bloque de D-01 a D-07","1.0.0","Aprobado y vigente","Decisión expresa del Founder","3981","97f3aae087c51e68fd7f7205961e57ff8a6c4cb99937fec741dc32f5ad8c9d88"
"102","itinerario/G1/ACTO_FOUNDER_RECONCILIACION_SDD_D08_D10_v1.0.0.md","Acto institucional","Control institucional de G1","ACTO-SDD-GMS-20260903-02","Acto del Founder — Aprobación en bloque de D-08 a D-10","1.0.0","Aprobado y vigente","Decisión expresa del Founder","4456","96ec2dbb0a12ed5462a7833e35336c1d28e631f34fac3635c1f126fd5e472383"
"103","itinerario/G1/ACTO_FOUNDER_RECONCILIACION_SDD_D11_v1.0.0.md","Acto institucional","Control institucional de G1","ACTO-SDD-GMS-20260904-03","Acto del Founder — Aprobación de D-11","1.0.0","Aprobado y vigente","Decisión expresa del Founder","3077","f6d584e87fc2a2aa3f66dde0b5ec5efab9ad3dc76783dc9890273b19ae30759a"
"104","itinerario/GMS_ITINERARIO_MAESTRO_SDD_v1.0.0.md","Instrumento de gobernanza","Control institucional de G1","ITINERARIO-SDD-GMS","Informe consolidado de evaluación SDD e Itinerario Maestro","1.0.0","Aprobado y vigente — salvedades del Founder incorporadas","Aprobación del Founder con salvedades incorporadas","54663","291b41d88c4fd7895b3648071f50553d707885f759f71651e3f84b43c278f998"
"105","LICENSE","Licencia","Instrumento legal","No aplica","GNU Affero General Public License","No aplica","Vigente según archivo","Corte canónico de partida","1070","6539f2a36b4eaacc71de0ecf4f45a1bd2153798a5dd911a142a6d4b5ca3f835c"
"106","README.md","Navegación documental","Soporte de navegación","No aplica","README.md","No declarada","Informativo","D-10; fuera del núcleo normativo","9302","7c92f9f149de9028495e0503a16b4accb77a642b83e2a12ef84373dcf1b25f77"
"107","VALORES.md","Documento institucional","Núcleo normativo G1","VALORES","Valores del Proyecto","1.0.0","Aprobado y vigente","D-09; ratificación del corte G1 pendiente","7346","759c41418cc9f1d58cb43dcc76c0424fbeb5920d1e1cbbf85a9345819f84b13c"
